"Type specimens at Botanical Survey of India, Central Regional Centre, Allahabad (BSA)",,,,,,,,,
Name of the Taxon,Family,Place of collection,"Date of 
Collection","Name of the
collector","F.No. / 
Coll. No.",Type Details,"Herbarium
Acronym",,
"Rostellularia andamanica
Vasudev Rao","North Andaman, Saddle
Peak",1.12.1976,"N.P. Balakrishnan
&
N.G. Nair","4758
B,C,D,E&F",Isotype,PBL,,,
"Hypoestes thothathrii Vasudeva
Rao & Chakrab.","South Andaman, Rutland
Is., Barakhari",21.1.1982,M.K. Vasudeva Rao,8601 B&C,Isotype,PBL,,,
"Polygonum barbatum L. var.
nicobaricus","North Nicobar, Arong,
Car Nicobar","12.10.197
3",N.P. Balakrishnan,468,Holotype,PBL,,,
"Polygonum chinense L. var.
nicobaricus","North Nicobar, Kadas
Village Katchal Island",26.4.1977,P. Chakraborty,5545,Holotype,PBL,,,
"Cryptocarya insularis Vasudeva
Rao & Chakrab.","South Andaman,
Dhanikari",06.2.1974,N.G. Nair,852,Isotype,PBL,,,
"Neolitsea balakrishnanii T.
Chakraborty & Goel","North Andaman, Saddle
Peak",31.3.1977,N.P. Balakrishnan,5379 B,Isotype,PBL,,,
"Nothaphoebe nicobarica
Chakrab. & Vasudeva Rao","South Nicobar, Gt.
Nicobar Island, 40 km
East-West Road",22.2.1980,R.P. Diwivedi,7893 B,Isotype,PBL,,,
"Nothaphoebe nicobarica
Chakrab. & Vasudeva Rao","South Nicobar, Gt.
Nicobar Is.,40 km on
East - West Road",14.2.1980,R.P. Diwivedi,7890,Paratype,PBL,,,
"Nothaphoebe panduriformis
(Hook. f) Gamble var.
nicobaricus","South Nicobar, Gt.
Nicobar, 26 km on East -
West Road","17.10.197
9",D.K. Hore,7222 B,Isotype,PBL,,,
"Neolitsea balakrishnanii Chakrab.
& Goel","North Andaman, Saddle
Peak",31.3.1977,N.P. Balakrishnan,5396,Paratype,PBL,,,
"Neolitsea balakrishnanii Chakrab.
& Goel","North Andaman, Saddle
Peak,",1.12.1976,"N.P. Balakrishnan
&
N.G. Nair",4760,Paratype,PBL,,,
"Mallotus peltatus Müll.Arg. var.
rubriflorus Chakrab.","South Andaman,
Obragraj",15.5.1976,N.G. Nair,3694-B,Isotype,PBL,,,
"Mallotus peltatus Müll.Arg. var.
rubriflorus Chakrab.","South Andaman, Sipighat",12.9.1973,N.P. Balakrishnan,336,Paratype,PBL,,,
"Mallotus peltatus Müll.Arg. var.
rubriflorus Chakrab.","South Andaman,
Chiriatapu",29.5.1974,"K. Thothathri &
N.G. Nair",1071,Paratype,PBL,,,
"Mallotus peltatus Müll.Arg. var.
rubriflorus Chakrab.","South Andaman,
Ograbrag",15.5.1976,N.G. Nair,3694 A,Holotype,PBL,,,
"Mallotus floribundus Müll.Arg.
var. cordifolius Chakrab.","South Nicobar, Gt.
Nicobar Is.,40 km on
East -
West Road",10.2.1980,R.P. Diwivedi,7858-A,Holotype,PBL,,,
"Glochidion subsessile N.P. Balakr.
& Chakrab.","South Andaman, Mount
Harriet",5.7.1979,T. Chakraborty,"7345-B, C, D,
E,F,G,H",Isotype,PBL,,,
"Glochidion subsessile N.P. Balakr.
& Chakrab.","South Andaman, Mount
Harriet",13.3.1976,"N.P. Balakrishnan
&
N. Bhargava",3459,Paratype,PBL,,,
"Glochidion subsessile N.P. Balakr.
& Chakrab.","South Andaman, Mount
Harriet",13.3.1976,"N.P. Balakrishnan
&
N. Bhargava",3460,Paratype,PBL,,,
"Glochidion subsessile N.P.
Balakr. & Chakrab.","South Andaman,
Nayashahar",13.3.1976,N.G. Nair,3691,Paratype,PBL,,,
"Glochidion brunneum Hook. f.
subsp. andamanicum N.P.
Balakr. & Chakrab.","South Andaman,
Wright Mgo to
Wyssen skyline",9.1.1974,N.P. Balakrishnan,766 B,Isotype,PBL,,,
"Glochidion bilobulatum Vasudeva
Rao & Chakrab.","North Andaman, Saddle
Peak Range Lania Bay
Slope",31.3.1977,N.P. Balakrishnan,5426 B,Isotype,PBL,,,
